ID,Song,Artist,Year,Weeks_in_Charts,Rank,YouTube_Link,ViewCount,Genre
0165,(I've Had) The Time Of My Life,Bill Medley & Jennifer Warnes,1987,21,1,https://www.youtube.com/watch?v=4BQLE_RrTSU,52000000.0,R&B
0166,Africa,Toto,1982,21,1,https://www.youtube.com/watch?v=FTQbiNvZqaY,1269000000.0,Rock
0167,Alone,Heart,1987,21,1,https://www.youtube.com/watch?v=1Cw1ng75KP0,509000000.0,Rock
0168,Crazy For You,Madonna,1985,21,1,https://www.youtube.com/watch?v=DHutZXREZ0E,101000000.0,Pop
0169,Doo Wop (That Thing),Lauryn Hill,1998,21,1,https://www.youtube.com/watch?v=T6QKqFPRZSA,238000000.0,R&B
0170,Every Rose Has Its Thorn,Poison,1988,21,1,https://www.youtube.com/watch?v=j2r2nDhTzO4,115000000.0,Rock
0171,"Exhale (Shoop Shoop) (From ""Waiting To Exhale"")",Whitney Houston,1995,21,1,https://www.youtube.com/watch?v=wrTuV4Szxzo,70000000.0,R&B
0172,Faith,George Michael,1987,21,1,https://www.youtube.com/watch?v=6Cs3Pvmmv0E,60000000.0,Pop
0173,Heaven Is A Place On Earth,Belinda Carlisle,1987,21,1,https://www.youtube.com/watch?v=j2F4INQFjEI,139000000.0,Pop
0174,I Can't Go For That (No Can Do),Daryl Hall  John Oates,1981,21,1,https://www.youtube.com/watch?v=ccenFp_3kq8,123000000.0,R&B
0175,I Want To Know What Love Is,Foreigner,1984,21,1,https://www.youtube.com/watch?v=r3Pr1_v7hsw,597000000.0,Rock
0176,I'll Be Loving You (Forever),New Kids On The Block,1989,21,1,https://www.youtube.com/watch?v=ZT_7UjCVELg,84000000.0,Pop
0177,Ice Ice Baby,Vanilla Ice,1990,21,1,https://www.youtube.com/watch?v=rog8ou-ZepE,676000000.0,Hip-Hop
0178,Jump,Kris Kross,1992,21,1,https://www.youtube.com/watch?v=010KyIQjkTk,178000000.0,Hip-Hop
0179,Jump,Van Halen,1984,21,1,https://www.youtube.com/watch?v=SwYN7mTi6HM,316000000.0,Rock
0180,Nothing Compares 2 U,Sinead O'Connor,1990,21,1,https://www.youtube.com/watch?v=0-EF60neguk,569000000.0,Rock
0181,Part-Time Lover,Stevie Wonder,1985,21,1,https://www.youtube.com/watch?v=MpDM6ygsb20,67000000.0,R&B
0182,Right Here Waiting,Richard Marx,1989,21,1,https://www.youtube.com/watch?v=S_E2EHVxNAE,766000000.0,Pop
0183,Sailing,Christopher Cross,1980,21,1,https://www.youtube.com/watch?v=9PnXcP8ZI7M,128000000.0,Pop
0184,Sledgehammer,Peter Gabriel,1986,21,1,https://www.youtube.com/watch?v=OJWJE0x7T4Q,92000000.0,Rock
0185,"Take My Breath Away (Love Theme From ""Top Gun"")",Berlin,1986,21,1,https://www.youtube.com/watch?v=Bx51eegLTY8,649000000.0,Pop
0186,You Keep Me Hangin' On,Kim Wilde,1987,21,1,https://www.youtube.com/watch?v=xJZF-skCY-M,87000000.0,Pop
0187,Bad Medicine,Bon Jovi,1988,20,1,https://www.youtube.com/watch?v=eOUtsybozjg,63000000.0,Rock
0188,Bailamos,Enrique Iglesias,1999,20,1,https://www.youtube.com/watch?v=b8I-7Wk_Vbc,721000000.0,Pop
0189,Bills; Bills; Bills,Destiny's Child,1999,20,1,https://www.youtube.com/watch?v=NiF6-0UTqtc,137000000.0,R&B
0190,Black Or White,Michael Jackson,1991,20,1,https://www.youtube.com/watch?v=F2AitTPI5U0,568000000.0,Pop
0191,Don't Let The Sun Go Down On Me,George Michael/Elton John,1991,20,1,https://www.youtube.com/watch?v=RsKqMNDoR4o,213000000.0,Rock
0192,Emotions,Mariah Carey,1991,20,1,https://www.youtube.com/watch?v=NrJEFrth27Q,69000000.0,Pop
0193,Everything She Wants,Wham!,1985,20,1,https://www.youtube.com/watch?v=Yf_Lwe6p-Cg,109000000.0,Pop
0194,Greatest Love Of All,Whitney Houston,1986,20,1,https://www.youtube.com/watch?v=IYzlVDlE72w,414000000.0,R&B
0195,Heartbreaker,Mariah Carey Featuring Jay-Z,1999,20,1,https://www.youtube.com/watch?v=kMCGvtlL4fw,86000000.0,Pop
0196,Honey,Mariah Carey,1997,20,1,https://www.youtube.com/watch?v=w3KOowB4k_k,56000000.0,Pop
0197,Human,The Human League,1986,20,1,https://www.youtube.com/watch?v=uPudE8nDog0,254000000.0,Rock
